,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
VGG-16,224,224,3,3,64,1,1,,conv2_2
VGG-16,224,224,64,3,64,1,1,,conv2_2
VGG-16,112,112,64,3,128,1,1,,conv2_2
VGG-16,112,112,128,3,128,1,1,,conv2_2
VGG-16,56,56,128,3,256,1,1,,conv2_2
VGG-16,56,56,128,3,256,1,1,,conv2_2
VGG-16,56,56,256,3,256,1,1,,conv2_2
VGG-16,28,28,256,3,512,1,1,,conv2_2
VGG-16,28,28,256,3,512,1,1,,conv2_2
VGG-16,28,28,512,3,512,1,1,,conv2_2
VGG-16,14,14,512,3,512,1,1,,conv2_2
VGG-16,14,14,512,3,512,1,1,,conv2_2
VGG-16,14,14,512,3,512,1,1,,conv2_2
