,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
MobileNet_1.0_160,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_160,10,10,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_160,20,20,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_160,20,20,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_160,40,40,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_160,40,40,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_160,5,5,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_160,5,5,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_160,80,80,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_160,160,160,3,3,32,2,0,,Conv2d_0
